id,arm,seed,updates,optimizer_seconds,seconds,trainable_parameters,peak_allocated_bytes,peak_reserved_bytes,status
B0_73100_1e-04,B0,73100,512,48.24654717094381,60.479010598006425,1179648,634260480,645922816,COMPLETE
B0_73100_3e-05,B0,73100,512,48.52405678876676,59.95027247397229,1179648,633457664,650117120,COMPLETE
B1_73100_1e-04,B1,73100,512,49.009117034380324,61.45144445099868,1179648,821782016,845152256,COMPLETE
B1_73100_3e-05,B1,73100,512,49.067341405927436,60.49234401798458,1179648,821782016,845152256,COMPLETE
B2_73100_1e-04,B2,73100,512,49.11866456919233,61.52955252499669,1179648,780150784,822083584,COMPLETE
B2_73100_3e-05,B2,73100,512,48.86913037500926,60.33869200700428,1179648,780150784,822083584,COMPLETE
B3_73100_1e-04,B3,73100,512,50.074882382759824,62.89197575999424,1179656,781526016,822083584,COMPLETE
B3_73100_3e-05,B3,73100,512,50.262072744895704,62.02131628699135,1179656,781526016,822083584,COMPLETE
B0_73101_1e-04,B0,73101,512,48.07976926770061,60.36767743201926,1179648,633457664,650117120,COMPLETE
B1_73101_3e-05,B1,73101,512,47.91998989958665,60.077446554991184,1179648,821782016,845152256,COMPLETE
B2_73101_3e-05,B2,73101,512,48.18854537740117,60.56164008600172,1179648,780150784,822083584,COMPLETE
B3_73101_3e-05,B3,73101,512,49.96027902633068,62.775804960983805,1179656,781526016,822083584,COMPLETE
B0_73102_1e-04,B0,73102,512,48.58818376707495,61.06288186501479,1179648,633457664,650117120,COMPLETE
B1_73102_3e-05,B1,73102,512,49.19887967090472,61.76454039599048,1179648,821782016,845152256,COMPLETE
B2_73102_3e-05,B2,73102,512,49.27765993771027,61.900615322985686,1179648,780150784,822083584,COMPLETE
B3_73102_3e-05,B3,73102,512,52.56641870603198,66.35482558401418,1179656,781526016,822083584,COMPLETE
