direction,arm,seed,normalized_RMSE,scalar_verified
OLD_MODEL_NEW_E,B0,73101,0.6307324490647213,True
OLD_MODEL_NEW_E,B1,73101,0.6162971224523501,True
OLD_MODEL_NEW_E,B2,73101,0.6681285957927965,True
OLD_MODEL_NEW_E,B3,73101,0.6398567134510342,True
OLD_MODEL_NEW_E,B0,73102,0.6310256422319294,True
OLD_MODEL_NEW_E,B1,73102,0.5944082946124917,True
OLD_MODEL_NEW_E,B2,73102,0.656611073044786,True
OLD_MODEL_NEW_E,B3,73102,0.6399607887915796,True
OLD_MODEL_NEW_E,BLEND,73101,0.6307324490647213,True
OLD_MODEL_NEW_E,BLEND,73102,0.6310256422319294,True
NEW_MODEL_OLD_E,B0,73101,0.37589590992741445,True
NEW_MODEL_OLD_E,B1,73101,0.39808301347722047,True
NEW_MODEL_OLD_E,B2,73101,0.39726481748641995,True
NEW_MODEL_OLD_E,B3,73101,0.39707356694646656,True
NEW_MODEL_OLD_E,B0,73102,0.37589590992741445,True
NEW_MODEL_OLD_E,B1,73102,0.3936329356154766,True
NEW_MODEL_OLD_E,B2,73102,0.393433084645568,True
NEW_MODEL_OLD_E,B3,73102,0.39319723427956643,True
NEW_MODEL_OLD_E,BLEND,73101,0.37589590992741445,True
NEW_MODEL_OLD_E,BLEND,73102,0.37589590992741445,True
