direction,method,baseline,seed,method_score,baseline_score,gain_percent,ci_low,ci_high
OLD_MODEL_NEW_E,B3,B2,73101,0.6398567134510342,0.6681285957927965,4.2315031147881115,1.728832692650667,6.702445483833226
OLD_MODEL_NEW_E,B3,B2,73102,0.6399607887915796,0.656611073044786,2.535790963133939,1.1812410194752685,3.8715918932228517
OLD_MODEL_NEW_E,B3,B2,MEAN,0.6399087511213069,0.6623698344187913,3.3910184507712846,1.6209846141786703,5.225602670334687
OLD_MODEL_NEW_E,B3,B1,73101,0.6398567134510342,0.6162971224523501,-3.8227650495813634,-8.223438095244322,-0.34424563231257244
OLD_MODEL_NEW_E,B3,B1,73102,0.6399607887915796,0.5944082946124917,-7.66350244301093,-11.912278133393096,-3.738651109091811
OLD_MODEL_NEW_E,B3,B1,MEAN,0.6399087511213069,0.6053527085324208,-5.708414631969106,-9.583581578659203,-2.2732617855772532
OLD_MODEL_NEW_E,B3,BLEND,73101,0.6398567134510342,0.6307324490647213,-1.4466140754043728,-3.756066410670431,0.8268865776935415
OLD_MODEL_NEW_E,B3,BLEND,73102,0.6399607887915796,0.6310256422319294,-1.4159720242186553,-4.008549854672261,1.0588826207426463
OLD_MODEL_NEW_E,B3,BLEND,MEAN,0.6399087511213069,0.6308790456483253,-1.4312894896837365,-3.864869363942775,0.943891241823321
NEW_MODEL_OLD_E,B3,B2,73101,0.39707356694646656,0.39726481748641995,0.04814182669471584,-0.028888112790162748,0.06098057463090958
NEW_MODEL_OLD_E,B3,B2,73102,0.39319723427956643,0.393433084645568,0.05994675465943968,0.019916442029809227,0.1056008376058665
NEW_MODEL_OLD_E,B3,B2,MEAN,0.3951354006130165,0.395348951065994,0.05401568725595241,-0.004529789665987927,0.07619040483028981
NEW_MODEL_OLD_E,B3,B1,73101,0.39707356694646656,0.39808301347722047,0.25357689139671713,-16.52709328408825,15.308754896826564
NEW_MODEL_OLD_E,B3,B1,73102,0.39319723427956643,0.3936329356154766,0.11068721554737022,-15.677208136036851,14.59637812081237
NEW_MODEL_OLD_E,B3,B1,MEAN,0.3951354006130165,0.3958579745463485,0.18253363069421386,-16.10146449618771,14.957171848395426
NEW_MODEL_OLD_E,B3,BLEND,73101,0.39707356694646656,0.37589590992741445,-5.633915256790508,-18.430290728292583,2.200955460080617
NEW_MODEL_OLD_E,B3,BLEND,73102,0.39319723427956643,0.37589590992741445,-4.602690238234534,-16.377631807818606,2.843173414598248
NEW_MODEL_OLD_E,B3,BLEND,MEAN,0.3951354006130165,0.37589590992741445,-5.118302747512521,-17.403961268055596,2.5220644373394325
