panel,kind,stage,condition,origins,distinct_index_days,index_weeks,index_span_days,seed_count
electricity,standard,selected,POINT4,128,128,32,215,2
electricity,standard,selected,POINT8,128,128,32,215,2
electricity,standard,selected,REFERENCE,128,128,32,215,2
electricity,standard,selected,SHIFT4,128,128,32,215,2
electricity,standard,selected,SHIFT8,128,128,32,215,2
electricity,standard,selected,SHIFT_POINT,128,128,32,215,2
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,64,64,32,215,2
electricity_transfer,shape,fixed1024,PULSE8_D32,64,64,32,215,2
electricity_transfer,shape,fixed1024,RAMP8_D32,64,64,32,215,2
electricity_transfer,shape,fixed1024,STEP12_D17,64,64,32,215,2
electricity_transfer,shape,fixed1024,STEP12_D63,64,64,32,215,2
electricity_transfer,shape,fixed1024,STEP6_D17,64,64,32,215,2
electricity_transfer,shape,fixed1024,STEP6_D63,64,64,32,215,2
electricity_transfer,shape,fixed1024,STEP8_D31,64,64,32,215,2
electricity_transfer,shape,fixed1024,STEP8_D33,64,64,32,215,2
electricity_transfer,shape,selected,PAIRED_SHIFT8_D32,64,64,32,215,2
electricity_transfer,shape,selected,PULSE8_D32,64,64,32,215,2
electricity_transfer,shape,selected,RAMP8_D32,64,64,32,215,2
electricity_transfer,shape,selected,STEP12_D17,64,64,32,215,2
electricity_transfer,shape,selected,STEP12_D63,64,64,32,215,2
electricity_transfer,shape,selected,STEP6_D17,64,64,32,215,2
electricity_transfer,shape,selected,STEP6_D63,64,64,32,215,2
electricity_transfer,shape,selected,STEP8_D31,64,64,32,215,2
electricity_transfer,shape,selected,STEP8_D33,64,64,32,215,2
electricity_transfer,standard,fixed1024,BURST16,128,128,32,215,2
electricity_transfer,standard,fixed1024,BURST4,128,128,32,215,2
electricity_transfer,standard,fixed1024,BURST8,128,128,32,215,2
electricity_transfer,standard,fixed1024,FAULT,128,128,32,215,2
electricity_transfer,standard,fixed1024,POINT16,128,128,32,215,2
electricity_transfer,standard,fixed1024,POINT4,128,128,32,215,2
electricity_transfer,standard,fixed1024,POINT8,128,128,32,215,2
electricity_transfer,standard,fixed1024,REFERENCE,128,128,32,215,2
electricity_transfer,standard,fixed1024,SHIFT4,128,128,32,215,2
electricity_transfer,standard,fixed1024,SHIFT8,128,128,32,215,2
electricity_transfer,standard,fixed1024,SHIFT_POINT,128,128,32,215,2
electricity_transfer,standard,selected,BURST16,128,128,32,215,2
electricity_transfer,standard,selected,BURST4,128,128,32,215,2
electricity_transfer,standard,selected,BURST8,128,128,32,215,2
electricity_transfer,standard,selected,FAULT,128,128,32,215,2
electricity_transfer,standard,selected,POINT16,128,128,32,215,2
electricity_transfer,standard,selected,POINT4,128,128,32,215,2
electricity_transfer,standard,selected,POINT8,128,128,32,215,2
electricity_transfer,standard,selected,REFERENCE,128,128,32,215,2
electricity_transfer,standard,selected,SHIFT4,128,128,32,215,2
electricity_transfer,standard,selected,SHIFT8,128,128,32,215,2
electricity_transfer,standard,selected,SHIFT_POINT,128,128,32,215,2
ettm1,shape,fixed1024,PAIRED_SHIFT8_D32,64,64,21,143,2
ettm1,shape,fixed1024,PULSE8_D32,64,64,21,143,2
ettm1,shape,fixed1024,RAMP8_D32,64,64,21,143,2
ettm1,shape,fixed1024,STEP12_D17,64,64,21,143,2
ettm1,shape,fixed1024,STEP12_D63,64,64,21,143,2
ettm1,shape,fixed1024,STEP6_D17,64,64,21,143,2
ettm1,shape,fixed1024,STEP6_D63,64,64,21,143,2
ettm1,shape,fixed1024,STEP8_D31,64,64,21,143,2
ettm1,shape,fixed1024,STEP8_D33,64,64,21,143,2
ettm1,shape,selected,PAIRED_SHIFT8_D32,64,64,21,143,2
ettm1,shape,selected,PULSE8_D32,64,64,21,143,2
ettm1,shape,selected,RAMP8_D32,64,64,21,143,2
ettm1,shape,selected,STEP12_D17,64,64,21,143,2
ettm1,shape,selected,STEP12_D63,64,64,21,143,2
ettm1,shape,selected,STEP6_D17,64,64,21,143,2
ettm1,shape,selected,STEP6_D63,64,64,21,143,2
ettm1,shape,selected,STEP8_D31,64,64,21,143,2
ettm1,shape,selected,STEP8_D33,64,64,21,143,2
ettm1,standard,fixed1024,BURST16,128,128,21,143,2
ettm1,standard,fixed1024,BURST4,128,128,21,143,2
ettm1,standard,fixed1024,BURST8,128,128,21,143,2
ettm1,standard,fixed1024,FAULT,128,128,21,143,2
ettm1,standard,fixed1024,POINT16,128,128,21,143,2
ettm1,standard,fixed1024,POINT4,128,128,21,143,2
ettm1,standard,fixed1024,POINT8,128,128,21,143,2
ettm1,standard,fixed1024,REFERENCE,128,128,21,143,2
ettm1,standard,fixed1024,SHIFT4,128,128,21,143,2
ettm1,standard,fixed1024,SHIFT8,128,128,21,143,2
ettm1,standard,fixed1024,SHIFT_POINT,128,128,21,143,2
ettm1,standard,selected,BURST16,128,128,21,143,2
ettm1,standard,selected,BURST4,128,128,21,143,2
ettm1,standard,selected,BURST8,128,128,21,143,2
ettm1,standard,selected,FAULT,128,128,21,143,2
ettm1,standard,selected,POINT16,128,128,21,143,2
ettm1,standard,selected,POINT4,128,128,21,143,2
ettm1,standard,selected,POINT8,128,128,21,143,2
ettm1,standard,selected,REFERENCE,128,128,21,143,2
ettm1,standard,selected,SHIFT4,128,128,21,143,2
ettm1,standard,selected,SHIFT8,128,128,21,143,2
ettm1,standard,selected,SHIFT_POINT,128,128,21,143,2
