panel,condition,arm,seed,origin,channel,draw,horizon,prediction,target
electricity_transfer,REFERENCE,C0,81551,21068,0,0,0,602.2105102539062,579.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,1,719.7392578125,718.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,2,767.2794189453125,734.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,3,487.79852294921875,485.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,4,305.5890197753906,278.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,5,287.6174011230469,267.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,6,290.7139892578125,265.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,7,272.3211364746094,267.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,8,269.21356201171875,267.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,9,293.54107666015625,290.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,10,322.05401611328125,305.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,11,285.7167663574219,296.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,12,292.8534240722656,286.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,13,441.2565002441406,441.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,14,620.0035400390625,583.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,15,605.183349609375,609.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,16,578.6092529296875,602.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,17,570.6282348632812,601.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,18,569.143798828125,579.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,19,569.7398071289062,577.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,20,567.2064208984375,576.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,21,571.6243286132812,617.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,22,570.60986328125,638.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,23,573.9440307617188,629.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,24,608.723876953125,646.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,25,722.240234375,764.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,26,762.522705078125,763.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,27,477.8248596191406,483.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,28,297.787353515625,279.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,29,280.09332275390625,269.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,30,283.0015869140625,273.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,31,268.2331848144531,268.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,32,269.25634765625,266.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,33,296.0340576171875,293.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,34,327.0978088378906,302.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,35,294.70263671875,280.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,36,303.3604431152344,283.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,37,448.50244140625,442.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,38,623.951416015625,581.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,39,607.7250366210938,580.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,40,577.6408081054688,592.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,41,568.9273071289062,580.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,42,573.3916015625,582.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,43,572.4484252929688,576.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,44,564.6625366210938,585.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,45,560.170654296875,579.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,46,559.27197265625,563.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,47,566.7822265625,564.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,48,603.3497924804688,587.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,49,707.9947509765625,719.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,50,740.9741821289062,732.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,51,469.012939453125,473.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,52,296.5892333984375,286.0
electricity_transfer,REFERENCE,C0,81551,21068,0,0,53,278.5837097167969,266.0
