building_id,physical_group,meter_ids,hash,eligible,reason,observed_hours,archive_finite_hours,timezone,block_start,block_end_exclusive
Fox_education_Theodore,kaggle:220,Fox_education_Theodore,027b8e595b6174bdb0e59cce78a57c0490b18d28b68b44d0de9b03a3cc688cb5,True,ELIGIBLE,17538,17544,US/Mountain,2016-07-08 00:00:00,2016-11-05 00:00:00
Fox_public_Lauren,kaggle:207,Fox_public_Lauren,02a13591511bd5db0e2301acf693e500aa5b3b21cda09bb451367ec6cf463504,True,ELIGIBLE,17534,17544,US/Mountain,2016-07-04 00:00:00,2016-11-01 00:00:00
Fox_office_Easter,kaggle:270,Fox_office_Easter,02a488b50e103607e2f3cfb11820d1f26bd89ecbf0a196f224643a2ce7b415c8,True,ELIGIBLE,17435,17544,US/Mountain,2016-03-24 00:00:00,2016-07-22 00:00:00
Fox_office_Israel,kaggle:172,Fox_office_Israel,03069d5ed375e2572c4e90d891a0161f3f57d1451d1778e711a5fe285a1b2e2d,True,ELIGIBLE,17540,17544,US/Mountain,2016-07-04 00:00:00,2016-11-01 00:00:00
Rat_assembly_Kristine,kaggle:298,Rat_assembly_Kristine,0312f5378ec3b4cfa35e8cc6883f3bdb87a72b9ab35556483022267bac44a137,True,ELIGIBLE,17160,17544,US/Eastern,2016-11-07 00:00:00,2017-03-07 00:00:00
Panther_lodging_Cora,kaggle:97,Panther_lodging_Cora,035b7fa731f68cde6e5565732da082461d42dff759e165bbdb323195207cdb5b,True,ELIGIBLE,8749,8760,US/Eastern,2017-06-21 00:00:00,2017-10-19 00:00:00
Bear_education_Rebecca,kaggle:615,Bear_education_Rebecca,04a4f7ac3e7ad858fb9d8403baf69fe69280a4986104aa9a09f871851a68cbdf,True,ELIGIBLE,17491,17544,US/Pacific,2016-03-14 00:00:00,2016-07-12 00:00:00
Panther_education_Hugh,kaggle:18,Panther_education_Hugh,04f05f4504c5feb2fac61da846c1fdeb24295e5f9af2f93e8e1ee8c780048344,True,ELIGIBLE,8748,8760,US/Eastern,2017-06-21 00:00:00,2017-10-19 00:00:00
Rat_office_Olivia,kaggle:520,Rat_office_Olivia,051b61681089ceb6c6bfe0abfe395efc0526a056d3c8d67fb1c1a661463196a2,True,ELIGIBLE,17492,17544,US/Eastern,2016-03-14 00:00:00,2016-07-12 00:00:00
Fox_assembly_Johnnie,kaggle:254,Fox_assembly_Johnnie,06451a1842fb79a7afc21b028994ff7ef202c4ea590d9bffedbf1207e843376c,True,ELIGIBLE,17485,17544,US/Mountain,2016-03-24 00:00:00,2016-07-22 00:00:00
Rat_office_Kasey,kaggle:390,Rat_office_Kasey,066f2d5dc53759081528c9c633c1ef13b6957ac89488e17e1f995c2d1c916fd5,True,ELIGIBLE,17468,17544,US/Eastern,2016-03-14 00:00:00,2016-07-12 00:00:00
Panther_education_Alecia,kaggle:24,Panther_education_Alecia,076c984de853da579dc96e5b4d8321ecb9684e3fbd43a9b3d491ef1b313a55db,True,ELIGIBLE,8748,8760,US/Eastern,2017-06-21 00:00:00,2017-10-19 00:00:00
Rat_office_Annis,kaggle:465,Rat_office_Annis,0798af997c1f49fa3ea35782468570087221bb50256df8880193a7926d7e1e09,True,ELIGIBLE,17492,17544,US/Eastern,2016-03-14 00:00:00,2016-07-12 00:00:00
Panther_lodging_Edison,kaggle:57,Panther_lodging_Edison,07f953b3bb595855345e0f909a8306f6ec63b279b5da4c8e6a7876a40b46e72c,True,ELIGIBLE,8749,8760,US/Eastern,2017-06-21 00:00:00,2017-10-19 00:00:00
Rat_education_Francisca,kaggle:339,Rat_education_Francisca,081b97bf51597645adde563ebba49d1106b24eab9859e7c7e365bf055d41c24b,True,ELIGIBLE,17060,17544,US/Eastern,2016-03-14 00:00:00,2016-07-12 00:00:00
Rat_public_Faye,kaggle:385,Rat_public_Faye,081bd288f14c40edd242b58e09d87f8d1aa77789b52d5a1c990b33addc12aabd,True,ELIGIBLE,17444,17544,US/Eastern,2016-05-25 00:00:00,2016-09-22 00:00:00
Panther_office_Karla,kaggle:9,Panther_office_Karla,089995f418e34aaa83ea0484c474ac0642b6574c66639e33e1679481c211b6b0,True,ELIGIBLE,8749,8760,US/Eastern,2017-06-21 00:00:00,2017-10-19 00:00:00
Rat_public_Bronwyn,kaggle:518,Rat_public_Bronwyn,08d026756de0da3762a1c742f31d26999e371beb6d897503dff0eeba0e93b753,True,ELIGIBLE,17203,17544,US/Eastern,2016-05-02 00:00:00,2016-08-30 00:00:00
Panther_office_Catherine,kaggle:26,Panther_office_Catherine,090aea8d287bfaa86945749ef4ae74602404f2074b92a116e892083cd8397bb9,True,ELIGIBLE,8748,8760,US/Eastern,2017-06-21 00:00:00,2017-10-19 00:00:00
Bear_education_Tara,kaggle:638,Bear_education_Tara,090ea11d148139690dc381e79bca74bbfffaa42fe1d877ff50f32b07e16aad58,True,ELIGIBLE,17502,17544,US/Pacific,2016-03-14 00:00:00,2016-07-12 00:00:00
Rat_education_Matt,bdg:Rat_education_Matt,Rat_education_Matt,0911bfa950935a7420a344e0100ee56ee2d96306ffc19ac700ee23caac379e76,True,ELIGIBLE,8758,8784,US/Eastern,2016-03-14 00:00:00,2016-07-12 00:00:00
Rat_education_Stuart,kaggle:405,Rat_education_Stuart,099aef5485503d8ccd7a04f2ffe96306710e21356961bea8c89c74c2f18d51c7,True,ELIGIBLE,17468,17544,US/Eastern,2016-03-14 00:00:00,2016-07-12 00:00:00
