method,historical_verdict,why_historical_stop,new_reason_to_reopen,new_execution,new_result,current_status,recommended_next_action
Uniform Prediction Anchoring,WINDOW_BUDGET_HYPOTHESIS_NOT_SUPPORTED,Sparse-window interaction not supported,Preserve positive and mixed source effects,No repeat fit; replay30 saved E caches,ANCHOR_CONDITIONAL,CONDITIONAL,Retain uniform anchoring as baseline; no universal regularizer claim
PatchPhase v2,FAIL,Original sparse phase support and fixed pilot criterion,Full rank sin/cos train support,12 fits /8640 updates,PATCH_V2_MIXED,CONDITIONAL,No v3; replicate only if mechanism earns a separate plan
Forecast-Query PEFT,STOP_CURRENT_QUERY,Quality behind Standard; old fixed resource gates,Partial-checkpoint Pareto comparison,18 configs planned; no forecasting fits,QUERY_RESOURCE_FRONTIER,SYSTEMS_TRADEOFF_ONLY,Keep only demonstrated memory-time-quality tradeoff; fresh systems replication needed
FR-LoRA,FAIL,All original arms selected step0,Check positive adapted states with nondegenerate revision,No fits; stored-state diagnostic,FR_REOPEN_POSSIBLE,DIAGNOSTIC_ONLY,Entry evidence only; no automatic FR fit
Censor-Preserve LoRA,FAIL,Behind censored-loss baseline,Check saturated zero-gradient tail,No fits;2 saved states on360 original train batches each,CENSOR_IMPLEMENTATION_LIMIT_MATERIAL,DIAGNOSTIC_ONLY,"If material, tail-loss correction requires separate design; no Censor v2 fit"
Freshness v1/v2,FAIL,No extra value over simple feature baseline after v2,Not reopened per user scope,0 new fits,Historical evidence retained: results/candidate_01_v2/RESULT.md,NOT_REOPENED,Do not rerun under current plan
DualClock extra extension,WEAK/NOT_SUPPORTED,Fair 360-to1440 extension already covered Standard/Summary/DualClock,Not reopened per user scope,0 new fits,Historical evidence retained: results/reassessment_diagnostics_20260914/REPORT.md,NOT_REOPENED,Do not rerun under current plan
Maturity-PEFT,FAIL,Recovered implementation remains unfavorable in quality and cost,Not reopened per user scope,0 new fits,Historical evidence retained: results/candidate_05/RESULT.md,NOT_REOPENED,Do not rerun under current plan
Block-shape,STOP,Acceptance does not beat pooled/simple controls,Not reopened per user scope,0 new fits,Historical evidence retained: research/full_reassessment_20260914/REPORT.md,NOT_REOPENED,Do not rerun under current plan
Calibration-weighted anchor,STOP,No extra value over uniform/shuffled anchoring,Not reopened per user scope,0 new fits,Historical evidence retained: results/calibration_anchor_20260914/REPORT.md,NOT_REOPENED,Do not rerun under current plan
Drift-conditioned LoRA,STOP,No supporting additional value; excluded by this instruction,Not reopened per user scope,0 new fits,Historical evidence retained: research/full_reassessment_20260914/REPORT.md,NOT_REOPENED,Do not rerun under current plan
Adaptive freeze/probe/overlap,STOP,Strong simple controls win after actual cost,Not reopened per user scope,0 new fits,Historical evidence retained: research/full_reassessment_20260914/REPORT.md,NOT_REOPENED,Do not rerun under current plan
Activation compression global/local,STOP,Unfavorable relative to nearby simple memory/gradient controls,Not reopened per user scope,0 new fits,Historical evidence retained: results/local_backward_feasibility/RESULT.md,NOT_REOPENED,Do not rerun under current plan
Conditional Path,NOVELTY_COLLISION,Contribution not differentiated; not a quality failure,Not reopened per user scope,0 new fits,Historical evidence retained: results/candidate_06/RESULT.md,NOT_REOPENED,Do not rerun under current plan
Context distillation,NO_TEACHER_HEADROOM,Student training entry unmet; not a student failure,Not reopened per user scope,0 new fits,Historical evidence retained: research/full_reassessment_20260914/REPORT.md,NOT_REOPENED,Do not rerun under current plan
