signal,time,observed,fixed_tau_fit,residual_observed_minus_fit
reaTSup_y,1901110.0,303.36494307708523,304.1860078229598,-0.8210647458745939
reaTSup_y,1901120.0,303.9784748797499,304.4316728805445,-0.4531980007946004
reaTSup_y,1901130.0,304.4807875230673,304.6586355555731,-0.17784803250577852
reaTSup_y,1901140.0,304.8921539226658,304.86831965294766,0.023834269718122414
reaTSup_y,1901150.0,305.2291507652228,305.0620405838729,0.16711018134992628
reaTSup_y,1901160.0,305.50556955264784,305.2410136178244,0.2645559348234201
reaTSup_y,1901170.0,305.7326184200606,305.406361506299,0.32625691376159693
reaTSup_y,1901180.0,305.91932708671476,305.55912152617117,0.36020556054359076
reaTSup_y,1901190.0,306.0731379029536,305.70025198684175,0.37288591611184074
reaTSup_y,1901200.0,306.200010072241,305.8306382420005,0.36937183024053866
reaTSup_y,1901210.0,306.3048742534887,305.9510982437147,0.35377600977403745
reaTSup_y,1901220.0,306.3918032851893,306.0623876736882,0.3294156115011333
reaTSup_y,1901230.0,306.46397838571903,306.165204683879,0.29877370184004803
reaTSup_y,1901240.0,306.52412132574534,306.2601942762156,0.263927049529741
reaTSup_y,1901250.0,306.5747655441505,306.3479523488881,0.22681319526242305
reaTSup_y,1901260.0,306.6173492123244,306.42902943459546,0.1883197777289638
reaTSup_y,1901270.0,306.6535652367339,306.5039341542026,0.1496310825313003
reaTSup_y,1901280.0,306.6844607654843,306.5731364074716,0.11132435801266638
reaTSup_y,1901290.0,306.7110783871733,306.6370703208834,0.07400806628987766
reaTSup_y,1901300.0,306.7342560067309,306.69613697104387,0.03811903568703201
reaTSup_y,1901310.0,306.75460089385774,306.75070690075705,0.0038939931006893858
reaTSup_y,1901320.0,306.7727485110629,306.80112244355183,-0.028373932488932496
reaTSup_y,1901330.0,306.7890401374493,306.8476998712422,-0.058659733792865154
reaTSup_y,1901340.0,306.80381143854606,306.89073137799573,-0.0869199394496718
reaTSup_y,1901350.0,306.8174114755774,306.9304869133548,-0.11307543777741103
reaTSup_y,1901360.0,306.8300854953066,306.96721587571113,-0.1371303804045283
reaTSup_y,1901370.0,306.8420568538331,307.0011486768566,-0.15909182302345926
reaTSup_y,1901380.0,306.8535228831434,307.0324981874256,-0.17897530428217578
reaTSup_y,1901390.0,306.86452874192344,307.0614610722963,-0.19693233037287428
reaTSup_y,1901400.0,306.8750880967761,307.08821902432834,-0.2131309275522426
reaTSup_y,1901410.0,306.8853102220272,307.11293990417664,-0.22762968214942703
reaTSup_y,1901420.0,306.8953441739503,307.1357787933316,-0.24043461938128985
reaTSup_y,1901430.0,306.9052787518757,307.1568789669919,-0.25160021511618424
reaTSup_y,1901440.0,306.915135726009,307.1763727928725,-0.2612370668634867
reaTSup_y,1901450.0,306.9249259693409,307.19438256158725,-0.26945659224634255
reaTSup_y,1901460.0,306.9346801539364,307.2110212538146,-0.27634109987815236
reaTSup_y,1901470.0,306.94443432164013,307.22639324905884,-0.28195892741871376
reaTSup_y,1901480.0,306.9542097368011,307.2405949804548,-0.2863852436536831
reaTSup_y,1901490.0,306.96401377455476,307.2537155397209,-0.28970176516611446
reaTSup_y,1901500.0,306.97385196810677,307.26583723605887,-0.2919852679521
reaTSup_y,1901510.0,306.98373316696586,307.27703611250394,-0.29330294553807335
reaTSup_y,1901520.0,306.9936658415248,307.2873824229653,-0.2937165814405489
reaTSup_y,1901530.0,307.0036543604616,307.29694107295035,-0.2932867124887366
reaTSup_y,1901540.0,307.0136998663504,307.3057720267359,-0.2920721603854872
reaTSup_y,1901550.0,307.02380294567826,307.31393068354254,-0.2901277378642817
reaTSup_y,1901560.0,307.0339645203401,307.32146822507036,-0.28750370473028397
reaTSup_y,1901570.0,307.0441850189923,307.32843193657703,-0.28424691758471
reaTSup_y,1901580.0,307.05446375737694,307.33486550351256,-0.28040174613562385
reaTSup_y,1901590.0,307.0647992818675,307.340809285571,-0.2760100037035045
reaTSup_y,1901600.0,307.07518996240384,307.34630056987913,-0.27111060747529336
reaTSup_y,1901610.0,307.085634151626,307.35137380490966,-0.2657396532836742
reaTSup_y,1901620.0,307.09613001781383,307.3560608165869,-0.25993079877304126
reaTSup_y,1901630.0,307.106675461087,307.3603910079401,-0.2537155468531296
reaTSup_y,1901640.0,307.1172682236213,307.3643915435579,-0.247123319936577
reaTSup_y,1901650.0,307.12790602346695,307.3680875199995,-0.24018149653255705
reaTSup_y,1901660.0,307.1385865863365,307.3715021232332,-0.23291553689671218
reaTSup_y,1901670.0,307.1493076167159,307.3746567740887,-0.22534915737281835
reaTSup_y,1901680.0,307.16006679292747,307.3775712626366,-0.21750446970912662
reaTSup_y,1901690.0,307.17086179935166,307.3802638723373,-0.20940207298565383
reaTSup_y,1901700.0,307.18169035705864,307.3827514947386,-0.20106113767997158
reaTSup_y,1901710.0,307.1925502309153,307.3850497354417,-0.19249950452643816
reaTSup_y,1901720.0,307.2034392254704,307.3871730119995,-0.18373378652910333
reaTSup_y,1901730.0,307.21435518669205,307.38913464436234,-0.17477945767029723
reaTSup_y,1901740.0,307.22529601030067,307.39094693843816,-0.16565092813749516
reaTSup_y,1901750.0,307.2362596482483,307.39262126329095,-0.15636161504266965
reaTSup_y,1901760.0,307.24724410980764,307.3941681224626,-0.14692401265494937
reaTSup_y,1901770.0,307.2582474605435,307.3955972198642,-0.13734975932072757
reaTSup_y,1901780.0,307.2692678225399,307.39691752065244,-0.12764969811252058
reaTSup_y,1901790.0,307.2803033756513,307.39813730746977,-0.11783393181849533
reaTSup_y,1901800.0,307.2913523580107,307.39926423240473,-0.10791187439400574
reaTSup_y,1901810.0,307.30241306530536,307.4003053649952,-0.09789229968981772
reaTSup_y,1901820.0,307.3134838496381,307.40126723657806,-0.08778338693997512
reaTSup_y,1901830.0,307.3245631186313,307.4021558812621,-0.07759276263078618
reaTSup_y,1901840.0,307.33564933465664,307.4029768737818,-0.06732753912518774
reaTSup_y,1901850.0,307.3467410138394,307.4037353644695,-0.05699435063013425
reaTSup_y,1901860.0,307.35783672479306,307.40443611156456,-0.046599386771504214
reaTSup_y,1901870.0,307.36893508728275,307.40508351106354,-0.0361484237807872
reaTSup_y,1901880.0,307.38003477094395,307.4056816242977,-0.02564685335374861
reaTSup_y,1901890.0,307.3911344940231,307.40623420341063,-0.015099709387527582
reaTSup_y,1901900.0,307.40223302207283,307.4067447148967,-0.00451169282388264
reaTSup_y,1901910.0,307.4133291666077,307.40721636134765,0.0061128052600452065
reaTSup_y,1901920.0,307.4244217837669,307.4076521015429,0.016769682223980453
reaTSup_y,1901930.0,307.43550977300856,307.40805466901145,0.02745510399711293
reaTSup_y,1901940.0,307.44659207582737,307.4084265891796,0.0381654866477561
reaTSup_y,1901950.0,307.4576676744512,307.4087701952142,0.04889747923704135
reaTSup_y,1901960.0,307.46873559068376,307.4090876426588,0.059647948024974085
reaTSup_y,1901970.0,307.47979488461215,307.4093809229565,0.07041396165567448
reaTSup_y,1901980.0,307.4908446533665,307.4096518759424,0.08119277742406439
reaTSup_y,1901990.0,307.501884029978,307.4099022013859,0.09198182859211101
reaTSup_y,1902000.0,307.51291218227203,307.4101334696535,0.10277871261854443
reaTSup_y,1902010.0,307.52392831172176,307.41034713156046,0.11358118016130447
reaTSup_y,1902020.0,307.5349316524427,307.41054452747187,0.1243871249708377
reaTSup_y,1902030.0,307.54592147006764,307.41072689571155,0.13519457435609183
reaTSup_y,1902040.0,307.5568970606863,307.4108953803301,0.1460016803562212
reaTSup_y,1902050.0,307.56785774988407,307.411051038282,0.15680671160208703
reaTSup_y,1902060.0,307.5788028918098,307.41119484605633,0.1676080457534681
reaTSup_y,1902070.0,307.5897318682007,307.4113277058023,0.17840416239840806
reaTSup_y,1902080.0,307.60064408755034,307.411450450989,0.18919363656135602
reaTSup_y,1902090.0,307.6115389841549,307.4115638516337,0.19997513252121735
reaTSup_y,1902100.0,307.62241601718904,307.4116686191327,0.21074739805635545
reaTSup_y,1902110.0,307.6332746700074,307.4117654107239,0.22150925928349352
reaTSup_y,1902120.0,307.64411444930914,307.41185483361,0.23225961569914944
reaTSup_y,1902130.0,307.65493488431014,307.41193744876756,0.24299743554257702
reaTSup_y,1902140.0,307.66573552599357,307.4120137744662,0.25372175152739374
reaTSup_y,1902150.0,307.6765159464072,307.41208428951995,0.2644316568872682
reaTSup_y,1902160.0,307.68727573792887,307.41214943629086,0.2751263016380108
reaTSup_y,1902170.0,307.6980145126646,307.4122096234642,0.28580488920039215
reaTSup_y,1902180.0,307.7087319016757,307.41226522861206,0.29646667306366226
reaTSup_y,1902190.0,307.71942755439204,307.4123166005623,0.3071109538297492
reaTSup_y,1902200.0,307.7301011379226,307.4123640615865,0.31773707633607273
reaTSup_y,1902210.0,307.7407523365424,307.4124079094219,0.3283444271204985
reaTSup_y,1902220.0,307.75138085106573,307.41244841913914,0.33893243192659384
reaTSup_y,1902230.0,307.7619863982489,307.41248584486783,0.3495005533810627
reaTSup_y,1902240.0,307.7725687102607,307.41252042139075,0.36004828886996165
reaTSup_y,1902250.0,307.7831275341748,307.4125523656168,0.3705751685579912
reaTSup_y,1902260.0,307.79366263145397,307.41258187794176,0.38108075351220805
reaTSup_y,1902270.0,307.8041737774374,307.41260914350516,0.39156463393226204
reaTSup_y,1902280.0,307.81466076082035,307.4126343333522,0.4020264274681722
reaTSup_y,1902290.0,307.825123383291,307.4126576055062,0.41246577778480287
reaTSup_y,1902300.0,307.83556145901866,307.4126791059604,0.42288235305824173
reaTRet_y,1901110.0,300.59485532344695,300.424400046787,0.17045527665993632
reaTRet_y,1901120.0,300.588376868061,300.43679172898896,0.15158513907203996
reaTRet_y,1901130.0,300.58388022886186,300.4491421743499,0.1347380545119563
reaTRet_y,1901140.0,300.58106592678985,300.461451520097,0.11961440669284684
reaTRet_y,1901150.0,300.57968615101703,300.4737199030009,0.10596624801610233
reaTRet_y,1901160.0,300.57953220535296,300.4859474593772,0.09358474597576105
reaTRet_y,1901170.0,300.5804320335849,300.49813432508773,0.08229770849715123
reaTRet_y,1901180.0,300.5822446154626,300.51028063554213,0.07196397992049697
reaTRet_y,1901190.0,300.58485166345446,300.52238652569963,0.06246513775482754
reaTRet_y,1901200.0,300.5881562606676,300.53445213007024,0.05370413059733892
reaTRet_y,1901210.0,300.59207641612375,300.5464775827163,0.04559883340743909
reaTRet_y,1901220.0,300.5965426588989,300.5584630172541,0.03807964164479927
reaTRet_y,1901230.0,300.6014985486254,300.5704085668553,0.031089981770094255
reaTRet_y,1901240.0,300.6068945193356,300.5823143642483,0.0245801550872784
reaTRet_y,1901250.0,300.6126840453295,300.5941805417199,0.018503503609622385
reaTRet_y,1901260.0,300.6188365020273,300.60600723111656,0.012829270910742707
reaTRet_y,1901270.0,300.6253180004512,300.61779456384613,0.007523436605083589
reaTRet_y,1901280.0,300.63210413526895,300.6295426708791,0.002561464389827961
reaTRet_y,1901290.0,300.6391709031615,300.6412516827501,-0.0020807795885957603
reaTRet_y,1901300.0,300.6464975178418,300.6529217295594,-0.0064242117176149804
reaTRet_y,1901310.0,300.65406676721375,300.66455294097426,-0.010486173760511974
reaTRet_y,1901320.0,300.6618613354006,300.6761454462305,-0.014284110829919427
reaTRet_y,1901330.0,300.6698683597226,300.6876993741339,-0.01783101441128565
reaTRet_y,1901340.0,300.67807533014786,300.6992148530615,-0.02113952291364285
reaTRet_y,1901350.0,300.6864698114755,300.71069201096316,-0.02422219948766724
reaTRet_y,1901360.0,300.6950410968147,300.72213097536303,-0.02708987854833822
reaTRet_y,1901370.0,300.7037790389875,300.73353187336085,-0.02975283437336884
reaTRet_y,1901380.0,300.7126741001783,300.7448948316333,-0.03222073145502691
reaTRet_y,1901390.0,300.72171910783885,300.7562199764357,-0.034500868596865075
reaTRet_y,1901400.0,300.73090755172126,300.767507433603,-0.03659988188172747
reaTRet_y,1901410.0,300.7402317954338,300.7787573285516,-0.03852553311782003
reaTRet_y,1901420.0,300.7496838549948,300.7899697862803,-0.040285931285495735
reaTRet_y,1901430.0,300.75925679540944,300.8011449313723,-0.041888135962835804
reaTRet_y,1901440.0,300.76894481658917,300.8122828879958,-0.04333807140665158
reaTRet_y,1901450.0,300.7787424572301,300.8233837799061,-0.04464132267600007
reaTRet_y,1901460.0,300.788644157853,300.8344477304465,-0.04580357259351331
reaTRet_y,1901470.0,300.79864445837444,300.8454748625499,-0.046830404175466356
reaTRet_y,1901480.0,300.8087382754746,300.8564652987402,-0.04772702326562239
reaTRet_y,1901490.0,300.8189208839685,300.86741916113334,-0.04849827716486743
reaTRet_y,1901500.0,300.82918774171276,300.87833657143904,-0.049148829726277654
reaTRet_y,1901510.0,300.83953441200845,300.88921765096205,-0.04968323895360527
reaTRet_y,1901520.0,300.84995661080654,300.9000625206033,-0.050105909796741344
reaTRet_y,1901530.0,300.860450254283,300.9108713008614,-0.05042104657837854
reaTRet_y,1901540.0,300.8710114417494,300.92164411183415,-0.050632670084780784
reaTRet_y,1901550.0,300.881636413517,300.9323810732195,-0.050744659702502304
reaTRet_y,1901560.0,300.8923215340479,300.9430823043171,-0.05076077026922121
reaTRet_y,1901570.0,300.90306329949004,300.9537479240297,-0.05068462453965594
reaTRet_y,1901580.0,300.91385834237065,300.96437805086424,-0.05051970849359577
reaTRet_y,1901590.0,300.92470342282854,300.97497280293334,-0.05026938010479398
reaTRet_y,1901600.0,300.9355954164735,300.9855322979566,-0.04993688148306319
reaTRet_y,1901610.0,300.94653130850276,300.99605665326186,-0.04952534475910397
reaTRet_y,1901620.0,300.95750819253675,301.0065459857865,-0.049037793249738115
reaTRet_y,1901630.0,300.96852326838945,301.01700041207874,-0.04847714368929701
reaTRet_y,1901640.0,300.97957383720836,301.027420048299,-0.047846211090643465
reaTRet_y,1901650.0,300.99065729639057,301.0378050102212,-0.04714771383061134
reaTRet_y,1901660.0,301.0017711360446,301.04815541323376,-0.04638427718913363
reaTRet_y,1901670.0,301.01291293640884,301.0584713723414,-0.04555843593254849
reaTRet_y,1901680.0,301.02408036502544,301.0687530021659,-0.04467263714047931
reaTRet_y,1901690.0,301.03527117348256,301.0790004169478,-0.04372924346523632
reaTRet_y,1901700.0,301.04648319426843,301.0892137305472,-0.04273053627878198
reaTRet_y,1901710.0,301.0577143380449,301.09939305644565,-0.04167871840076032
reaTRet_y,1901720.0,301.06896259116274,301.10953850774683,-0.0405759165840891
reaTRet_y,1901730.0,301.0802260131756,301.119650197178,-0.03942418400237102
reaTRet_y,1901740.0,301.0915027343382,301.1297282370914,-0.03822550275322101
reaTRet_y,1901750.0,301.1027909532065,301.1397727394654,-0.03698178625887749
reaTRet_y,1901760.0,301.11408893438806,301.14978381590566,-0.0356948815175997
reaTRet_y,1901770.0,301.12539500639167,301.15976157764646,-0.03436657125479314
reaTRet_y,1901780.0,301.1367075595294,301.16970613555196,-0.03299857602257816
reaTRet_y,1901790.0,301.1480250438691,301.1796176001173,-0.031592556248199344
reaTRet_y,1901800.0,301.1593459672625,301.18949608146994,-0.0301501142074585
reaTRet_y,1901810.0,301.17066889345244,301.19934168937095,-0.02867279591851002
reaTRet_y,1901820.0,301.1819924402463,301.20915453321606,-0.027162092969774676
reaTRet_y,1901830.0,301.19331527774403,301.218934722037,-0.025619444292942717
reaTRet_y,1901840.0,301.2046361266214,301.22868236450256,-0.024046237881179877
reaTRet_y,1901850.0,301.2159537564702,301.23839756892,-0.022443812449807865
reaTRet_y,1901860.0,301.2272669841957,301.2480804432362,-0.020813459040482485
reaTRet_y,1901870.0,301.2385746724666,301.25773109503865,-0.019156422572052634
reaTRet_y,1901880.0,301.24987572821294,301.267349631557,-0.01747390334406873
