direction,arm,seed,normalized_RMSE,scalar_verified
OLD_MODEL_NEW_E,C0,73101,0.7342089655860822,True
OLD_MODEL_NEW_E,C1,73101,0.7357392231992621,True
OLD_MODEL_NEW_E,C2,73101,0.7364361708560019,True
OLD_MODEL_NEW_E,C3,73101,0.7416645405570056,True
OLD_MODEL_NEW_E,C0,73102,0.7148330381855914,True
OLD_MODEL_NEW_E,C1,73102,0.7393786801290125,True
OLD_MODEL_NEW_E,C2,73102,0.7318629886068859,True
OLD_MODEL_NEW_E,C3,73102,0.7328848377525881,True
NEW_MODEL_OLD_E,C0,73101,0.8391930122159516,True
NEW_MODEL_OLD_E,C1,73101,0.6584763906303498,True
NEW_MODEL_OLD_E,C2,73101,0.5170920420404183,True
NEW_MODEL_OLD_E,C3,73101,0.5219868593256989,True
NEW_MODEL_OLD_E,C0,73102,0.8113359228020309,True
NEW_MODEL_OLD_E,C1,73102,0.6463396783007598,True
NEW_MODEL_OLD_E,C2,73102,0.490730320598319,True
NEW_MODEL_OLD_E,C3,73102,0.49404777717348947,True
