id,arm,seed,updates,optimizer_seconds,seconds,trainable_parameters,peak_allocated_bytes,peak_reserved_bytes,status
C0_73100_1e-04,C0,73100,512,49.01053273896105,65.4984184410132,1179648,780150784,822083584,COMPLETE
C0_73100_3e-05,C0,73100,512,49.200056067231344,62.705859359004535,1179648,780150784,822083584,COMPLETE
C1_73100_1e-04,C1,73100,512,49.29531977078295,65.05071638099616,1179648,780150784,822083584,COMPLETE
C1_73100_3e-05,C1,73100,512,49.44763167607016,63.234001242002705,1179648,780150784,822083584,COMPLETE
C2_73100_1e-04,C2,73100,512,49.39935767900897,65.31406255799811,1179648,780150784,822083584,COMPLETE
C2_73100_3e-05,C2,73100,512,49.346983037830796,63.16597420698963,1179648,780150784,822083584,COMPLETE
C3_73100_1e-04,C3,73100,512,50.110758125956636,65.94078954900033,1179652,784361984,822083584,COMPLETE
C3_73100_3e-05,C3,73100,512,50.26501326993457,64.07244959298987,1179652,784361984,822083584,COMPLETE
C0_73101_1e-04,C0,73101,512,52.82962257726467,70.61936479801079,1179648,780150784,822083584,COMPLETE
C1_73101_3e-05,C1,73101,512,51.78169468813576,68.14904821899836,1179648,780150784,822083584,COMPLETE
C2_73101_1e-04,C2,73101,512,51.67064766594558,68.11160884602577,1179648,780150784,822083584,COMPLETE
C3_73101_1e-04,C3,73101,512,52.46397060918389,68.98581879297853,1179652,784361984,822083584,COMPLETE
C0_73102_1e-04,C0,73102,512,51.5380943918135,68.3045971620013,1179648,780150784,822083584,COMPLETE
C1_73102_3e-05,C1,73102,512,51.71681343304226,68.28874062100658,1179648,780150784,822083584,COMPLETE
C2_73102_1e-04,C2,73102,512,51.4372889228398,68.06320987598156,1179648,780150784,822083584,COMPLETE
C3_73102_1e-04,C3,73102,512,52.377815663814545,68.90737157099647,1179652,784361984,822083584,COMPLETE
