id,citation,primary_url,additional_urls,accessed,source_type,used_for
1,"CanelE452/tsfm-peft-method-screen. [Block-conditioned shape adaptation: first pilot](https://github.com/CanelE452/tsfm-peft-method-screen/blob/aa0609ae66a348bf18a6201b0164b85e71dd350c/results/block_shape_pilot/RESULT.md), 2026. 비공개 저장소의 원본 결과 및 같은 디렉터리 evaluation/selection/trajectory 자료. 로컬 캐시로 재계산.",https://github.com/CanelE452/tsfm-peft-method-screen/blob/aa0609ae66a348bf18a6201b0164b85e71dd350c/results/block_shape_pilot/RESULT.md,,2026-09-13,private original experiment,원본 48-fit 수치와 선택; 로컬 캐시 CPU 재계산
2,"같은 저장소. [Forecast-query pilot](https://github.com/CanelE452/tsfm-peft-method-screen/blob/aa0609ae66a348bf18a6201b0164b85e71dd350c/results/forecast_query_pilot/RESULT.md), 2026. 실제 학습과 메모리 판정.",https://github.com/CanelE452/tsfm-peft-method-screen/blob/aa0609ae66a348bf18a6201b0164b85e71dd350c/results/forecast_query_pilot/RESULT.md,,2026-09-13,private original experiment,실제 학습과 메모리 실패 구분
3,"같은 저장소. [Candidate01 v2](https://github.com/CanelE452/tsfm-peft-method-screen/blob/aa0609ae66a348bf18a6201b0164b85e71dd350c/results/candidate_01_v2/RESULT.md), 2026. 관측 손상의 문제 gate와 후보 비교.",https://github.com/CanelE452/tsfm-peft-method-screen/blob/aa0609ae66a348bf18a6201b0164b85e71dd350c/results/candidate_01_v2/RESULT.md,,2026-09-13,private original experiment,문제 gate와 방법 gate 구분
4,"같은 저장소. [Local backward feasibility](https://github.com/CanelE452/tsfm-peft-method-screen/blob/aa0609ae66a348bf18a6201b0164b85e71dd350c/results/local_backward_feasibility/RESULT.md), 2026. 예측 학습 없는 backward·자원 비교.",https://github.com/CanelE452/tsfm-peft-method-screen/blob/aa0609ae66a348bf18a6201b0164b85e71dd350c/results/local_backward_feasibility/RESULT.md,,2026-09-13,private original experiment,backward 진단을 학습 결과로 혼동하지 않음
5,"Pineda Arango et al. [ChronosX: Adapting Pretrained Time Series Models with Exogenous Variables](https://arxiv.org/abs/2503.12107), AISTATS 2025, arXiv v1 2025-03-15.",https://arxiv.org/abs/2503.12107,,2026-09-13,original research/survey,공변량 어댑터 신규성 경계
6,"Qin et al. [CoRA: Covariate-Aware Adaptation of Time Series Foundation Models](https://arxiv.org/abs/2510.12681), arXiv v1, 2025-10-14.",https://arxiv.org/abs/2510.12681,,2026-09-13,original research/survey,동결 특징과 조건부 주입 경계
7,"[TFMAdapter: Lightweight Instance-Level Adaptation of Foundation Models for Forecasting with Covariates](https://arxiv.org/abs/2509.13906), 2025; [저자 구현](https://github.com/AfrinDange/tfmadapter)은 CIKM 2025 채택을 명시.",https://arxiv.org/abs/2509.13906,https://github.com/AfrinDange/tfmadapter,2026-09-13,original research/survey,강한 가벼운 공변량 비교군
8,"Liang et al. [The Forecast After the Forecast: A Post-Processing Shift in Time Series](https://arxiv.org/abs/2601.20280), arXiv v1, 2026-01-28.",https://arxiv.org/abs/2601.20280,,2026-09-13,original research/survey,출력 보정·분위수 구조 중복
9,"Lee, Ponti, Storkey. [Adapting Time Series Foundation Models through Data Mixtures](https://arxiv.org/html/2603.02840v1), 2026-03-03.",https://arxiv.org/html/2603.02840v1,,2026-09-13,original research/survey,군집별 LoRA 중복
10,"Beichter et al. [Decision-Focused Fine-Tuning of Time Series Foundation Models for Dispatchable Feeder Optimization](https://arxiv.org/abs/2503.01936), Energy and AI 21, 100533, 2025.",https://arxiv.org/abs/2503.01936,,2026-09-13,original research/survey,의사결정 목적 PEFT 중복
