building,days,episode,fit,history_std,lr,method,prediction_path,prediction_sha256,primary,raw_MAE,raw_RMSE,role,scaled_2pinball,seed,step,train_seconds,affine
Rat_education_Irma,3,Rat_education_Irma_H3,STD_Rat_education_Irma_H3_lr3e-05_seed61680,4.77629925241406,3e-05,STD,.cache/building_peft_topic_decision_20260916/fits/STD_Rat_education_Irma_H3_lr3e-05_seed61680/prediction0.npz,86dd3cb55851bea7018a044130acb3f6de18c14432c34c5505ed085895aca6d7,0.8024196410123411,2.8686000696818037,3.8325963314896034,DISCOVERY,0.4238808065115504,61680,0,0.0,
Rat_education_Irma,3,Rat_education_Irma_H3,STD_Rat_education_Irma_H3_lr3e-05_seed61680,4.77629925241406,3e-05,STD,.cache/building_peft_topic_decision_20260916/fits/STD_Rat_education_Irma_H3_lr3e-05_seed61680/prediction2.npz,fe8fb5fd38cfaff1465815cc114a44bbea2260a9fbd273eeb65ff1273809a49a,0.8026808882796306,2.86994379679362,3.8338441266170533,DISCOVERY,0.42404103908466256,61680,2,0.20732785400468856,
Rat_education_Irma,3,Rat_education_Irma_H3,STD_Rat_education_Irma_H3_lr3e-05_seed61680,4.77629925241406,3e-05,STD,.cache/building_peft_topic_decision_20260916/fits/STD_Rat_education_Irma_H3_lr3e-05_seed61680/prediction8.npz,9504a9f4c1f6c4871fbb37fa8b55f4f1d8c8d750bd67b6f4f7588cf0704ff87f,0.8030272660401994,2.871436138153076,3.8354985304559106,DISCOVERY,0.4242142371971166,61680,8,0.8179705470101908,
Rat_education_Irma,3,Rat_education_Irma_H3,STD_Rat_education_Irma_H3_lr3e-05_seed61680,4.77629925241406,3e-05,STD,.cache/building_peft_topic_decision_20260916/fits/STD_Rat_education_Irma_H3_lr3e-05_seed61680/prediction32.npz,602cdfbed0c25b9ddd92f7d52e9a2938dc90dba1f2ddd0e13eca06c5ee3997ca,0.8052253751662081,2.8811865043640137,3.845997357431191,DISCOVERY,0.42531556440450835,61680,32,3.304246021027211,
Rat_education_Irma,3,Rat_education_Irma_H3,STD_Rat_education_Irma_H3_lr3e-05_seed61680,4.77629925241406,3e-05,STD,.cache/building_peft_topic_decision_20260916/fits/STD_Rat_education_Irma_H3_lr3e-05_seed61680/prediction120.npz,1c22490a91e91ecc2b28082a5c2519dab5254029d54187699cec9b9dae431047,0.8187055473615696,2.9463761838277183,3.910382693810309,DISCOVERY,0.4308356827248695,61680,120,12.517036395118339,
Rat_education_Irma,3,Rat_education_Irma_H3,REFERENCE_Rat_education_Irma_H3,4.77629925241406,0.0,F0,.cache/building_peft_topic_decision_20260916/Rat_education_Irma_H3_F0.npz,1ce56f552ab3b8b177f606445c166dae9f8b35f08a2cc29f6c899ad9b8c68e2b,0.8024196410123411,2.8686000696818037,3.8325963314896034,DISCOVERY,0.4238808065115504,0,0,0.0,
Rat_education_Irma,3,Rat_education_Irma_H3,REFERENCE_Rat_education_Irma_H3,4.77629925241406,0.0,AFFINE,.cache/building_peft_topic_decision_20260916/Rat_education_Irma_H3_AFFINE.npz,ded812d3803e6d6be2e02a45334ffea635a25b733497f4ea47bcd7ec955ec376,0.9081410098040349,3.3148723841700503,4.337553226213561,DISCOVERY,0.5311252650639164,0,0,0.0,"{'a': 0.40150086539711877, 'b': 23.881193827863655, 'fallback': False, 'reason': None}"
Rat_education_Irma,3,Rat_education_Irma_H3,REFERENCE_Rat_education_Irma_H3,4.77629925241406,0.0,SEASONAL24,.cache/building_peft_topic_decision_20260916/Rat_education_Irma_H3_SEASONAL24.npz,6b572accdd5186fe6177a12fc185cc343358c1ad077f7abcc883066995197c48,0.8669945532660899,3.4025000000000003,4.141025436611887,DISCOVERY,0.7123716124529451,0,0,0.0,
Rat_education_Irma,3,Rat_education_Irma_H3,STD_Rat_education_Irma_H3_lr0.0001_seed61680,4.77629925241406,0.0001,STD,.cache/building_peft_topic_decision_20260916/fits/STD_Rat_education_Irma_H3_lr0.0001_seed61680/prediction0.npz,86dd3cb55851bea7018a044130acb3f6de18c14432c34c5505ed085895aca6d7,0.8024196410123411,2.8686000696818037,3.8325963314896034,DISCOVERY,0.4238808065115504,61680,0,0.0,
Rat_education_Irma,3,Rat_education_Irma_H3,STD_Rat_education_Irma_H3_lr0.0001_seed61680,4.77629925241406,0.0001,STD,.cache/building_peft_topic_decision_20260916/fits/STD_Rat_education_Irma_H3_lr0.0001_seed61680/prediction2.npz,1c02a6c605c940648e77f9b4df2c7a162ad37bfd42db5721956df794a600ae00,0.803264792498292,2.872936585744222,3.836633027900127,DISCOVERY,0.4243983415900001,61680,2,0.20169098299811594,
