source,arm,seed,FAULT,REFERENCE,SHIFT4,SHIFT8,SHIFT_POINT
electricity,C0,81551,0.17214110393742857,0.1672163268582406,0.1924753307602616,0.2083321769911373,0.1984636882479122
electricity,C0,81552,0.17077919925103927,0.1658318078573181,0.1901396359819989,0.211732375942667,0.1939792235709032
electricity,C1,81551,0.17214110393742857,0.1672163268582406,0.1924753307602616,0.2083321769911373,0.1984636882479122
electricity,C1,81552,0.17077919925103927,0.1658318078573181,0.1901396359819989,0.211732375942667,0.1939792235709032
electricity,C2,81551,0.17255179928984646,0.1672360917549172,0.1892788615879906,0.2016593313396533,0.1946874702696325
electricity,C2,81552,0.17109330262051267,0.1659924363419048,0.1889073036005311,0.2071487809801221,0.1924038526141119
electricity,C3,81551,0.17284216411292044,0.1675442325905699,0.1895036992698969,0.2012248141698813,0.1946615139123658
electricity,C3,81552,0.17114693397115013,0.1661617099968632,0.1887560138122401,0.2021936208966793,0.1922021980869313
ettm1,C0,81551,0.41899356985425923,0.4045515146391231,0.5459466813770019,0.5388866589281355,0.5821832958687511
ettm1,C0,81552,0.4274018437956737,0.4101211519772421,0.5568625036863599,0.5518498844387241,0.5974310433023925
ettm1,C1,81551,0.41899356985425923,0.4045515146391231,0.5459466813770019,0.5388866589281355,0.5821832958687511
ettm1,C1,81552,0.4274018437956737,0.4101211519772421,0.5568625036863599,0.5518498844387241,0.5974310433023925
ettm1,C2,81551,0.41899356985425923,0.4045515146391231,0.5459466813770019,0.5388866589281355,0.5821832958687511
ettm1,C2,81552,0.42831006937399724,0.4106401871986437,0.550473234220879,0.5415905065958705,0.5906249111953044
ettm1,C3,81551,0.41899356985425923,0.4045515146391231,0.5459466813770019,0.5388866589281355,0.5821832958687511
ettm1,C3,81552,0.4274354295728717,0.4098996464787992,0.5534885693262586,0.5563107567134941,0.5948157609292063
