dataset,seed,arm,role,mse,mae
electricity,40001,SPECIFIC,selected,0.7579296676633467,0.6587151719553291
traffic,40001,SPECIFIC,selected,1.8449904030485311,1.0677428610585091
traffic,40000,SHARED,selected,1.1392162100697494,0.7662295205926573
traffic,40001,SHARED,selected,1.407888523411148,0.8423860530473465
traffic,40001,SHARED_WIDE,selected,0.9742657960948764,0.7156619529388739
electricity,40001,SHARED,selected,0.39233469736560467,0.4656420873778748
electricity,40000,SPECIFIC,selected,0.7056474274144211,0.6285777610607172
traffic,40000,SHARED_WIDE,selected,0.9464113208305256,0.6746873252053365
traffic,40000,LORA_HEAD,selected,0.621236257783822,0.5285709834726516
electricity,40001,LORA_HEAD,selected,0.33327770972622517,0.43075082208197557
electricity,40000,SHARED_WIDE,selected,0.37275789494970346,0.4503295535152676
traffic,40000,GROUP4,selected,0.8548791115632121,0.6299635607301372
electricity,40000,LORA_HEAD,selected,0.2982447074763445,0.3987198876974015
electricity,40000,BASIS4,selected,0.49941076867559475,0.5256737854077559
electricity,40000,BASIS4,posthoc_coefficient_swap,0.49485909484695073,0.5215183841601312
electricity,40001,BASIS4,selected,0.47511229533542065,0.5193096161768833
electricity,40001,BASIS4,posthoc_coefficient_swap,0.46693693298768957,0.5127411302243947
traffic,40001,BASIS4,selected,1.3393953670531338,0.8760874615417179
traffic,40001,BASIS4,posthoc_coefficient_swap,1.2982278169130985,0.8615101476847175
traffic,40001,GROUP4,selected,1.2509285480717516,0.8433945674622993
electricity,40000,GROUP4,selected,0.4131847802172078,0.4785888788699473
traffic,40000,SPECIFIC,selected,1.4724750165296308,0.9171918934043475
traffic,40001,LORA_HEAD,selected,0.7024503503186135,0.5791252359748993
electricity,40001,GROUP4,selected,0.4203683471407631,0.4778450823121475
electricity,40001,SHARED_WIDE,selected,0.4147211039609558,0.48471163702394465
electricity,40000,SHARED,selected,0.38301238418912065,0.4529978728869434
traffic,40000,BASIS4,selected,1.2699305992369618,0.8487160226369741
traffic,40000,BASIS4,posthoc_coefficient_swap,1.261646811981241,0.8470876610604389
