arm,dataset,fit,lr,order,reuse_key,seed,epoch,updates,panel,checkpoint_path,checkpoint_sha256,prediction_path,prediction_sha256,seconds,peak_allocated,peak_reserved,exposure,mse,mae
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,0,0,V_FIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_00.pt,4a127f062551d32771ee6189906fa930fa4b9649fc9bf40b19fe360c0d817ec3,.cache/channel_controlled_improvement_v1_20260916/V_FIXED_00_traffic_LH_41001_0.001_00.npz,c6ad0588d7502b614f4d375d085d22b8f92c5612335b3e4392d3fb7d2fec5142,0.05780455400235951,290763264,322961408,DISCOVERY_REUSED_PERIODS,1.0306974713457309,0.7308741210698226
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,0,0,V_MIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_00.pt,4a127f062551d32771ee6189906fa930fa4b9649fc9bf40b19fe360c0d817ec3,.cache/channel_controlled_improvement_v1_20260916/V_MIXED_00_traffic_LH_41001_0.001_00.npz,b013c589b3ff41b0cc66a7a36b205b3a1b1b43b3fb049f1aa5c166b047bee3cf,0.056101910973666236,290763264,322961408,DISCOVERY_REUSED_PERIODS,1.011339666580719,0.7216836613612421
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,1,63,V_FIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_01.pt,12984d9edc99232159e9f659662b615546ba52fcd057aebc819087020e9cb9dc,.cache/channel_controlled_improvement_v1_20260916/V_FIXED_00_traffic_LH_41001_0.001_01.npz,8d497d1537b8b82fe91c9f40dd29304983e4fe2769cb5f25c2baf7e0a3ce8c4f,0.05682697400334291,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.3676019908006414,0.3603357077075926
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,1,63,V_MIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_01.pt,12984d9edc99232159e9f659662b615546ba52fcd057aebc819087020e9cb9dc,.cache/channel_controlled_improvement_v1_20260916/V_MIXED_00_traffic_LH_41001_0.001_01.npz,772d16102db680e37a67fc53eaffbcef83cd63273afec1eb9de1173f1536a9aa,0.0641157119825948,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.40242227955457077,0.3709885271544673
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,2,126,V_FIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_02.pt,4847547b68d7dfc73627ba74b0661f7cbe44527d572e97d183fe6d55311d06b0,.cache/channel_controlled_improvement_v1_20260916/V_FIXED_00_traffic_LH_41001_0.001_02.npz,096e329474fce4c1dd0312d097611b226378a47ffd6da4ba6f2eefb5abf54595,0.05630677900626324,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.3563070784766853,0.3345969953619767
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,2,126,V_MIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_02.pt,4847547b68d7dfc73627ba74b0661f7cbe44527d572e97d183fe6d55311d06b0,.cache/channel_controlled_improvement_v1_20260916/V_MIXED_00_traffic_LH_41001_0.001_02.npz,89b1b84aea714a64be44a53aac25a644b0e3c6cf7851caadc542533bb6a72d27,0.0545873650116846,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.3582465527989988,0.3395552519298597
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,3,189,V_FIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_03.pt,5c5aa770af95b20b29666681758a2efb244d93c173c375c04ca7a99e6ad746e0,.cache/channel_controlled_improvement_v1_20260916/V_FIXED_00_traffic_LH_41001_0.001_03.npz,2c91cd00f8ac68dd9585c1330ed24723353934fc2301e523fc813db5269d0bc7,0.05656488399836235,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.32511975050061365,0.3272850816141241
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,3,189,V_MIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_03.pt,5c5aa770af95b20b29666681758a2efb244d93c173c375c04ca7a99e6ad746e0,.cache/channel_controlled_improvement_v1_20260916/V_MIXED_00_traffic_LH_41001_0.001_03.npz,04ca992c3365bf4f9cd61dc75f0480864d44dab8e2534ea5427ec869c43fe499,0.055838590022176504,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.3335860779851025,0.32710969651444577
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,4,252,V_FIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_04.pt,96c9f78c4ff29a3ee5b4a6b2040b97dbcbe3c8ad100959403d1da8b95e794b65,.cache/channel_controlled_improvement_v1_20260916/V_FIXED_00_traffic_LH_41001_0.001_04.npz,2d35cd2df0271f15ad94f3ddc68cf99feb22fe758f1b74f0207df420a4f249a1,0.05608669499633834,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.307324998010779,0.3151487746892203
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,4,252,V_MIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_04.pt,96c9f78c4ff29a3ee5b4a6b2040b97dbcbe3c8ad100959403d1da8b95e794b65,.cache/channel_controlled_improvement_v1_20260916/V_MIXED_00_traffic_LH_41001_0.001_04.npz,0aa0bd1e689941a27f14a356a41ddf691a95489cbf42586caf3c0e0e4675efc5,0.055755289999069646,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.3263347972891938,0.324088476927531
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,5,315,V_FIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_05.pt,f86e724b0f3c61cdf39060263a02ef67abbd3d8df729dd798a4ed3fd20b760cb,.cache/channel_controlled_improvement_v1_20260916/V_FIXED_00_traffic_LH_41001_0.001_05.npz,8345c2a6700431a42e00938bc02e1c0e556db983821ce3c4a6ae67ef939e8278,0.055297415994573385,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.31062685083514174,0.3130563781926173
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,5,315,V_MIXED,.cache/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_05.pt,f86e724b0f3c61cdf39060263a02ef67abbd3d8df729dd798a4ed3fd20b760cb,.cache/channel_controlled_improvement_v1_20260916/V_MIXED_00_traffic_LH_41001_0.001_05.npz,b6cb7b50fe4c9d1cc97cc0e543f14a54e026878a9a788cf1772803c4e0a230bb,0.05793188797542825,290763264,322961408,DISCOVERY_REUSED_PERIODS,0.3226568357420032,0.32361488564705604
