dataset,arm,lr,three_seed_minimum_mean,chosen
electricity,LH,0.001,0.26831350900577283,True
electricity,LH,0.0003,0.2719220481080203,False
electricity,SIDE,0.001,0.27581920677046856,True
electricity,SIDE,0.0003,0.27699979449426265,False
electricity,PRIOR,0.001,0.2745344798043227,True
electricity,PRIOR,0.0003,0.2760664802157347,False
traffic,LH,0.001,0.2860966148331666,True
traffic,LH,0.0003,0.2964087062759046,False
traffic,SIDE,0.001,0.3022034000031349,True
traffic,SIDE,0.0003,0.3096040971250873,False
traffic,PRIOR,0.001,0.29986245082621793,True
traffic,PRIOR,0.0003,0.30755187665051226,False
