role,origin,phase,horizon_end
TRAIN,336,0,384
TRAIN,337,1,385
TRAIN,338,2,386
TRAIN,339,3,387
TRAIN,340,4,388
TRAIN,341,5,389
TRAIN,342,6,390
TRAIN,343,7,391
TRAIN,344,8,392
TRAIN,345,9,393
TRAIN,346,10,394
TRAIN,347,11,395
TRAIN,348,12,396
TRAIN,349,13,397
TRAIN,350,14,398
TRAIN,351,15,399
TRAIN,352,16,400
TRAIN,353,17,401
TRAIN,354,18,402
TRAIN,355,19,403
TRAIN,356,20,404
TRAIN,357,21,405
TRAIN,358,22,406
TRAIN,359,23,407
TRAIN,5391,15,5439
TRAIN,5400,0,5448
TRAIN,5401,1,5449
TRAIN,5402,2,5450
TRAIN,5403,3,5451
TRAIN,5404,4,5452
TRAIN,5405,5,5453
TRAIN,5406,6,5454
TRAIN,5407,7,5455
TRAIN,5408,8,5456
TRAIN,5409,9,5457
TRAIN,5410,10,5458
TRAIN,5411,11,5459
TRAIN,5412,12,5460
TRAIN,5413,13,5461
TRAIN,5414,14,5462
TRAIN,10455,15,10503
TRAIN,10456,16,10504
TRAIN,10457,17,10505
TRAIN,10458,18,10506
TRAIN,10459,19,10507
TRAIN,10460,20,10508
TRAIN,10461,21,10509
TRAIN,10462,22,10510
TRAIN,10463,23,10511
TRAIN,10464,0,10512
TRAIN,10465,1,10513
TRAIN,10466,2,10514
TRAIN,10467,3,10515
TRAIN,10468,4,10516
TRAIN,10469,5,10517
TRAIN,10470,6,10518
TRAIN,10471,7,10519
TRAIN,10472,8,10520
TRAIN,10473,9,10521
TRAIN,10474,10,10522
TRAIN,10475,11,10523
TRAIN,10476,12,10524
TRAIN,10477,13,10525
TRAIN,10478,14,10526
V_SELECT,10526,14,10574
V_SELECT,10527,15,10575
V_SELECT,10528,16,10576
V_SELECT,10529,17,10577
V_SELECT,10530,18,10578
V_SELECT,10531,19,10579
V_SELECT,10532,20,10580
V_SELECT,10533,21,10581
V_SELECT,10534,22,10582
V_SELECT,10535,23,10583
V_SELECT,10536,0,10584
V_SELECT,10537,1,10585
V_SELECT,10538,2,10586
V_SELECT,10539,3,10587
V_SELECT,10540,4,10588
V_SELECT,10541,5,10589
V_SELECT,10542,6,10590
V_SELECT,10543,7,10591
V_SELECT,10544,8,10592
V_SELECT,10545,9,10593
V_SELECT,10546,10,10594
V_SELECT,10547,11,10595
V_SELECT,10548,12,10596
V_SELECT,10549,13,10597
V_SELECT,12216,0,12264
V_SELECT,12217,1,12265
V_SELECT,12218,2,12266
V_SELECT,12219,3,12267
V_SELECT,12220,4,12268
V_SELECT,12221,5,12269
V_SELECT,12222,6,12270
V_SELECT,12223,7,12271
V_CAL,12280,16,12328
V_CAL,12281,17,12329
V_CAL,12282,18,12330
V_CAL,12283,19,12331
V_CAL,12284,20,12332
V_CAL,12285,21,12333
V_CAL,12286,22,12334
V_CAL,12287,23,12335
V_CAL,12288,0,12336
V_CAL,12289,1,12337
V_CAL,12290,2,12338
V_CAL,12291,3,12339
V_CAL,12292,4,12340
