family,axis,repository,inspected_ref,status,code_path,execution_or_result_path,model,datasets,trainable_parameters,notes
original parameter subset: output head,PEFT family,mltimeseries,f490b67a99721f572f049e17382d5d431d15b2c2,TRAINED_AND_EVALUATED,experiments/peft_adaptation_scope_v1/modeling.py,_docs/notes/tsfm_topics/02_adaptation_scope/04_peft_adaptation_scope_s1_results_20260908.md,Chronos-2,ETTm2; Jena,H_FULL 3653280,Original output_patch_embedding only; not bias-only or norm-only
bias-only / norm-only,PEFT family,all four inspected scopes,3750490033ca40adf51fe132fe578fb1b4babd75,NOT_FOUND_IN_INSPECTED_SCOPE,inspected_files.json and local src/scripts text search,none found,Chronos-2,not established,not established,Head-only evidence does not prove BitFit/norm-only training
low-rank weight correction,PEFT family,tsfm-peft-method-screen,3750490033ca40adf51fe132fe578fb1b4babd75,TRAINED_AND_EVALUATED,src/tsfm_peft_screen/lora.py,results/anchor_window_study_20260914/anchor/fits.json,Chronos-2,Beijing; ETTm2; Electricity,1179648 (rank8 alpha16 96 attention projections),"Anchor changes the objective, not the parameter family"
low-rank weight correction,PEFT family,forecast-revision-peft,237d2456991fbdabc764a4be1e4e18d2fbbd16fd,TRAINED_AND_EVALUATED,src/fr_peft/lora.py; src/fr_peft/train.py,results/pilot_v1/summary.json,Chronos-2,BMRA; Jena,rank8 alpha16; 96 attention projections; head frozen,40 fits recorded; FR/anchor are loss axes; Jena selected F0
internal additive/conditional adapter,PEFT family,tsfm-peft-method-screen,3750490033ca40adf51fe132fe578fb1b4babd75,TRAINED_AND_EVALUATED,src/tsfm_peft_screen/candidates/dualclock.py,results/candidate_02/integrity.json; results/reassessment_diagnostics_20260914/dualclock/fits.json,Chronos-2,M5,LoRA 1179648 plus adapter 12704 (summary) or 16192 (DualClock),Internal residual intervention; not an official Houlsby/ReFT reproduction
head/readout residual adaptation,PEFT family,mltimeseries,f490b67a99721f572f049e17382d5d431d15b2c2,TRAINED_AND_EVALUATED,experiments/peft_initial_headroom_v1/fit.py; experiments/peft_head_convergence_v1/fit.py,results/peft_head_convergence_v1/metrics.csv; _docs/notes/tsfm_topics/07_research_direction/34_initial_headroom_20260911.md,Chronos-2,BMRA; Jena,HEAD 589301; WIDE/JOINT 1768949,JOINT includes LoRA; HEAD/WIDE freeze backbone; historical D arrays not found locally
head/readout adaptation,PEFT family,tsfm-peft-method-screen,3750490033ca40adf51fe132fe578fb1b4babd75,TRAINED_AND_EVALUATED,src/tsfm_peft_screen/forecast_query/model.py:Head,results/forecast_query_equal_time/fits.json; results/forecast_query_equal_time/evaluation.json,Chronos-2,ETTm2; Electricity,1179648,Frozen backbone with residual head; not Houlsby Adapter
side network,PEFT family,tsfm-peft-method-screen,3750490033ca40adf51fe132fe578fb1b4babd75,TRAINED_AND_EVALUATED,src/tsfm_peft_screen/forecast_query/model.py:Side,results/forecast_query_equal_time/fits.json; results/forecast_query_equal_time/evaluation.json,Chronos-2,ETTm2; Electricity,1179648,12 small side layers fed frozen features; separate from LoRA
soft prompt / prefix,PEFT family,all four inspected scopes,3750490033ca40adf51fe132fe578fb1b4babd75,NOT_FOUND_IN_INSPECTED_SCOPE,inspected_files.json; local src/scripts,none found,Chronos-2,not established,not established,Absence in the stated inspected scope is not proof of absence in all past branches
activation scaling: official IA3,PEFT family,all four inspected scopes,3750490033ca40adf51fe132fe578fb1b4babd75,NOT_FOUND_IN_INSPECTED_SCOPE,inspected_files.json; local src/scripts,none found,Chronos-2,not established,not established,Absence in the stated inspected scope is not proof of absence in all past branches
representation intervention: official ReFT,PEFT family,all four inspected scopes,3750490033ca40adf51fe132fe578fb1b4babd75,NOT_FOUND_IN_INSPECTED_SCOPE,inspected_files.json; local src/scripts,none found,Chronos-2,not established,not established,Absence in the stated inspected scope is not proof of absence in all past branches
custom conditional low-rank gating,PEFT family,tsfm-peft-method-screen,3750490033ca40adf51fe132fe578fb1b4babd75,TRAINED_AND_EVALUATED,src/tsfm_peft_screen/lora.py:LowRank,results/candidate_01/integrity.json,Chronos-2,Jena,1182720,Freshness gate is not an official IA3 reproduction
anchor / FR / censor losses,training objective,tsfm-peft-method-screen,3750490033ca40adf51fe132fe578fb1b4babd75,TRAINED_AND_EVALUATED,src/tsfm_peft_screen/reassessment.py; src/tsfm_peft_screen/candidates/fr_lora.py; src/tsfm_peft_screen/candidates/censor.py,results/anchor_window_study_20260914; results/candidate_04; results/candidate_07,Chronos-2,Beijing; ETTm2; Electricity; M5,LoRA parameters; no family inferred from loss,Separate objective axis
activation INT8/local backward,precision/storage/recomputation,tsfm-peft-method-screen,3750490033ca40adf51fe132fe578fb1b4babd75,GRADIENT_OR_RESOURCE_PROBE_ONLY,src/tsfm_peft_screen/memory/compression.py; src/tsfm_peft_screen/memory/local_backward.py,docs/MEMORY_FEASIBILITY_PROTOCOL.md; docs/LOCAL_BACKWARD_PROTOCOL.md,Chronos-2,diagnostic batches,no accuracy-training fit established by these probes,Activation quantization is not QLoRA
